Marital status,Application mode,Course,Previous qualification,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st year (enrolled),Curricular units 1st year (approved),Curricular units 2nd year (enrolled),Curricular units 2nd year (approved),Curricular units 3rd year (enrolled),Curricular units 3rd year (approved),Curricular units 4th year (enrolled),Curricular units 4th year (approved),Target
1,8,2,1,1,0,1,1,0,20,0,0,0,0,0,0,0,0,Dropout
1,6,11,1,1,0,0,1,0,19,6,6,6,6,6,6,6,6,Graduate
1,1,5,1,1,0,0,1,0,19,6,0,6,0,6,0,6,0,Dropout
1,8,15,1,1,0,1,0,0,20,6,6,6,5,6,6,6,5,Graduate
2,12,3,1,0,0,1,0,0,45,6,5,6,6,6,5,6,6,Graduate
2,12,17,12,0,1,1,1,0,50,5,5,5,5,5,5,5,5,Graduate
1,1,12,1,1,0,1,0,1,18,7,7,8,8,7,7,8,8,Graduate
1,9,11,1,1,0,0,1,0,22,5,0,5,0,5,0,5,0,Dropout
1,1,10,1,0,0,1,0,1,21,6,6,6,6,6,6,6,6,Graduate
1,1,10,1,1,1,0,0,0,18,6,5,6,2,6,5,6,2,Dropout
1,1,14,1,1,0,1,0,0,18,6,6,6,5,6,6,6,5,Graduate
1,1,12,1,1,0,1,0,1,18,8,7,8,7,8,7,8,7,Graduate
1,1,16,1,1,0,1,0,0,19,6,0,6,0,6,0,6,0,Dropout
1,17,11,16,1,0,1,0,1,21,6,6,6,5,6,6,6,5,Graduate
1,1,6,1,1,0,1,0,1,18,5,4,5,5,5,4,5,5,Graduate
1,1,15,1,1,0,1,0,0,20,6,5,6,0,6,5,6,0,Dropout
1,9,10,1,1,0,1,0,0,18,6,1,6,2,6,1,6,2,Enrolled
1,8,12,1,1,0,1,0,0,18,7,7,8,8,7,7,8,8,Graduate
1,1,8,1,1,0,1,0,0,20,5,4,5,4,5,4,5,4,Graduate
1,1,16,1,1,0,1,0,0,18,7,6,7,6,7,6,7,6,Enrolled
1,1,2,1,0,0,1,0,1,21,0,0,0,0,0,0,0,0,Graduate
1,9,13,1,1,0,1,0,0,20,7,7,8,8,7,7,8,8,Enrolled
1,1,12,1,1,0,1,0,0,18,8,7,8,7,8,7,8,7,Graduate
1,1,14,1,1,0,1,0,1,19,6,6,6,6,6,6,6,6,Graduate
1,1,12,1,0,0,1,0,0,19,7,6,8,7,7,6,8,7,Graduate
1,1,10,1,1,1,1,0,1,18,6,5,6,4,6,5,6,4,Enrolled
1,8,10,1,1,0,1,0,0,21,6,6,6,6,6,6,6,6,Graduate
1,1,6,1,1,0,1,0,0,18,5,5,5,4,5,5,5,4,Enrolled
1,1,9,1,1,0,1,0,0,20,5,5,5,5,5,5,5,5,Graduate
